,Effectiveness,Price,Taste,Side effects,Quality control,Varied results,Ingredients,date,name,title,content,rating
87,1,0,0,0,0,0,0,2022-05-10,Branee Benner,worth it!,"Yes, this does give you pimples! However, you do get hair growth with it. Im almost done with my (first) bottle and my hair has grown maybe half of an inch to an inch! I’ve also had to shave my legs 2/3 times a week while taking these, definitely promotes all types of hair growth, if you’re ok with having pimples for a week. Before and after pics attached.",5
88,1,0,0,0,0,1,1,2017-11-03,Kindle Customer,More Hair Vitamins Please,"Let me start this review by saying I need more Sugarbear Hair Vitamins and I need them now...no joke. I have tried many different brands of hair vitamins from generic to the more pricey variety. They all promise to do alot of things with my hair and lets just say the vitamins themselves for me were either difficult to take being in pill form or made me dizzy or nauseous to the point I stopped taking them (money wasted). I am proud to say I finished taking my first bottle of Sugarbear Hair Vitamins and plan on buying some more. Oh, I can't forget to comment on my hair growth, I recently went natural in January of this year and decided to get the rest of the relaxed ends trimmed off. The individual that cut my hair in my opinion was not experienced with natural hair and cut it uneven. I then had to go back to get it ""Corrected"" so needless to say I got about 8 inches cut off and had about 1/2 inch of growth left before taking the vitamins. as of right now my hair is long enough to put in CUTE little hair puffs :). The Sugarbear vitamins taste delicious and its really hard not to take more than two a day. I am ecstatic to see how long and healthy my hair looks in another year or so.",5
89,1,1,1,0,0,1,1,2019-02-04,Melanie,"Noticeably healthy, shiny, growing hair in just 2 months","So far I have purchased 2 bottles of these vitamins, and within those two short months I have seen SIGNIFICANT change in the appearance of my hair. I was diagnosed with Alopecia Areata in October of 2017. I tried a variety of products for my hair loss, but to no avail. When I first started taking these vitamins in December of 2017 I had several developing bald spots. Some were extremely noticeable and hard to hide. I had heard A LOT of these amazing hair growth vitamins via social media, so I decided to give it a shot. I wasn’t confident that these would even help my autoimmune condition, but I figured there couldn’t be any damage in trying. After a couple months, BAM, my bald spots were ENTIRELY covered with new growth and my existing hair had grown quite noticeably considering I had chopped my hair off a few months prior. I’m not saying by any means that this product can cure Alopecia, or that it will work the same for individuals suffering from the same condition as I. However, I do know that they’ve worked well for me and I will continue to buy them monthly. Not to mention how shiny and healthy my hair appears now!! (I get highlights done frequently) SO happy I gave these a try!!",5
90,-1,0,-1,0,0,0,0,2021-01-28,Maria,They work!!!,"These work!!! I have been taking these for three weeks and I will be ordering my next bottle. I started taking these because I was experiencing hair loss and my hairline was looking bald. When I would shower I would lose chunks of hair and for the first time in months I only lost a few strands. Also, when I would brush my hair I would lose so much hair! I have been washing my hair every other day, applying processed castor oil twice a week and using honey shampoo and conditioner. I believe everything has helped, but probably the vitamins have helped me the most. In my picture you’ll see the difference in my hair line and the amount of hair I lost while brushing. The pictures are 3 weeks apart. If you are thinking about buying them, give them a try!",5
91,0,0,1,0,0,-1,0,2020-06-07,Kristen,"My hair is growing much faster, these are great","Ok so I am totally guilty of seeing these on Instagram a while ago (was it Kylie??) and saying screw it I’ll at least try a bottle or 2. Well I have used 2 1/2 bottles now, which is about 10 weeks or so, and had to write a review.. First - they really taste like candy. I went for gummies as I honestly can not swallow anymore stinky gross biotin, fish oil etc capsules.. Second - taking these during a quarantine was probably a bad idea... my hair is growing like crazy! I’m glad I fully committed to balayage over the last few years... I swear my hair has grown almost 2 inches in the last 2 months and I have the roots to prove it lol.. Third - I have crazy sensitive skin and definitely noticed in the past I would break out when taking certain supplements (usually hair/skin/nails formulas) and this has not happened with these.. Give them a try, worked well for me so far!",5
92,,,,,,,,2020-05-31,Daze,Original vitamins confirmed,"Okay, I did some research because of some of the comments stating that fake vitamins were being received.. I posted pictures to help future shoppers make sure the product is genuine & original. According to Google, YouTube and many comments here, the package received, passes the test.. 1. The package has US official distribution info (fakes come from China).. 2. The bottles were sealed with plastic (fakes don’t have that).. 3. The Manufacturers info on the bottom should be like the one I posted (fakes will not have the same uniformed text).. 4. The seal is paper & aluminum (fakes only have aluminum).. 5. Color is like a light Tiffany blue (fakes are more green-ish teal with darker blue specs).. 6. Bears are distinct (fakes are less detailed and may have tiny holes throughout).. So there you have it! Now to wait on results. Just took my first 2 vitamins tonight, so did my 15 year old daughter.. I’ll update results in 4 to 6 weeks time. Hoping these will work for our hair’s growth ☺🤞.",5
93,0,-1,0,0,0,0,0,2020-07-07,Amazon Customer,One gummy a day works amazingly,"I chose this product because it is vegetarian friendly. As some reviewers mentioned about acne or pimples I wanted to be cautious by first starting with one gummy bear a day. It worked perfectly fine. I have a pimple free clean skin. After 50 days, I wanted to experiment with 2 gummy bears a day. I got pimples immediately in few hours. Now it’s been 2 days and the pimples started to get better. So I am happy with one gummy a day.. Really good effects in my hair. In the mid part of head I was having very less hair earlier. I am taking this vitamins for 2 months now. One per day. I could see hair growth in the former bald portions. I am really happy with the progress. (I follow a vegetarian diet from childhood. I eat lots of fruits and veggies, nuts. I tried deep moisture with castor oil too. Nothing helped except for sugarBear). Thanks a lot sugarBear.. I bought my second bottle now.",5
94,1,0,-1,0,0,1,-1,2022-02-15,BeautifulFanesse,Yes Honey Yes!!!,I regret not taking pictures before I started these vitamins. But I have been taking them consistently! For 3 months now and I have seen tremendous hair growth. At least two inches. No lie! I'm African-American and have long thick and coarse hair and these hair vitamins are perfect! There are a lot of products out in the market now that promote hair growth but in the form of an oil and sometimes I don't want oily hair but I want that same hair growth and I found it in a vitamin. A delicious one at that. Highly recommended.,5
95,0,0,0,0,0,1,0,2022-10-20,Hilary,Scam!,Not the real sugar bear hair vitamins!!!,5
96,-1,-1,-1,0,-1,0,0,2022-10-19,Juana zamora,Si funcionan,Si me gustaron dejo caer mi pelo,5
97,0,0,-1,0,0,0,0,2022-06-03,Ally,BUY THIS IT WORKS !!,I Suffered from traction alopecia from getting my hair braided and have used this for a month and all my hair is growing back and my hair has never felt healthier and I have fine hair I bought the 90 day supply as a cosmetologist and barber this product works amazing !,5
98,0,-1,-1,0,0,-1,0,2022-10-24,Dom,Very yum,Really tasty! Almost like candy,5
99,-1,0,-1,-1,0,0,0,2022-09-22,Danelle Eikanas,Old product,Scratched out expiration and extremely discolored product. Like dark green when they should be bright teal blue.,5
100,1,0,0,0,0,0,0,2016-09-02,CatMama84,Amazing!!,"I'm on my 2nd bottle of SugarBearHair vitamins. I am in love! I figured I'd try one bottle since a lot of reviews say they see a difference within 3-4 weeks. I'm sold! I have always had very fine thin hair and went on some awful meds a few years ago that really just destroyed my hair and made it super super thin. My hair just never bounced back. And I have tried everything! Nioxin, regular biotin, a combo of biotin and other vitamins, other special hair loss and thickening shampoos, nutriox vitamins, coconut oil, etc. Nothing ever seemed to really work. Until SugarBearHair... After about 3 days my hair already felt so much softer and healthier and insanely shiny (and my hair has always been fairly shiny but now it's insane!) I just started bottle #2 today, after 31 days my hair is fuller and thicker (I've been using X-fusion hair fibers as a filler for 2 years and haven't had to use it the past 2 weeks!!) and it's at least 1.5 inches longer. I will have to say during the first week I did get some bad breakouts around my chin. My skin is usually pretty good, but with some extra care it went away quickly, but totally worth it to see my hair magically transform!. If you are in doubt especially with the $30 price tag, just try it for one month!!",5
101,,,,,,,,2017-08-05,Ashley Bozin,Yesssss!!,"I don't usually write reviews, in fact I think this is my first review. I've seen this product all over the Internet so I figured I cave in and buy it. I've been bouncing around through different hair products but I have found a keeper. My hair is naturally black but right now it is like bleach blonde. So obviously not in great shape. I think it's too soon if my hair is feeling thicker or anything BUT, the growth is crazy. I'm skeptical about sooooo many products. And I don't believe things actually work. But this.. I did a before and after picture and I'm impressed! My hair grows SO slow it's not even funny. I go get a trim and I swear it's like months before it grows back. Now the picture I posted when you first look at it it doesn't look different but if you look at where my hair is hitting on the words on the back of my shirt you can see the difference. And this is only three weeks progress! Not even through with my first bottle and I already see a huge difference. I would definitely recommend this. Not a waste of money at all.",5
102,1,1,0,0,0,1,1,2016-02-19,Shiiru,literally the best hair vitamins!,"**I'm a girl; writing this review from my boyfriends account**. These are honestly the best hair vitamins I've ever tried! The fact that they're gummies makes it easy to stay consistent because I look forward to taking them every day. Taste wise they're fruity without being overly sweet. The texture is exactly the way you would expect gummy bears to feel. I'm just starting my second bottle but I have already seen a difference in my hair (I have very fine hair and tend to shed a lot). I didn't take any ""before"" pictures so I can't say exactly how much my hair has grown but I definitely notice a difference in length and shine. My hair is also fuller and thicker and isn't shedding as much as before. Additionally!, I've also seen a difference in my nails! Despite the fact that I bite my nails, I've still been able to notice that they have been growing back faster than before and are sooooooo shiny and much stronger! Overall, I'd recommend the s*** out of this product.. Some notes on my hair type:. *I have combo hair. It's mostly loose curls but some parts are tighter than others, some parts are straight. It's weird.. *Very fine and not full. *It's generally frizzy.. *Because of the weird hair texture I tend to straighten it a lot so I do have some damage as far is it being a bit brittle and dull.",5
103,1,0,0,0,0,1,0,2017-09-09,Simone,WORKS! Gotta give it time though,"Normally I don't make reviews but I had to for this. The gummies TASTE amazing, and they're really easy to chew and don't have any nasty after taste. I went from having very short bobs up to my ears and then went onto deciding it was time to grow my hair out. My hair now touches my bra strap.. on my back lol I've been taking these gummies for 3 months now I was skeptic after he first month when i saw little growth but I did see strengthening of my hair. After the first month and continuing using the product for 3 months I can see results and I'm sure you can too. I didn't get any awful side effects no acne no facial hair no breakage (normally that happens from taking vitamins and not drinking enough water) just beautiful results but Ladies YOU HAVE TO GIVE IT TIME! For ladies with hair like mine protective styles and less heat, along with coconut oil add these gummies and you're hair will grow!",5
104,0,0,-1,0,0,0,0,2021-06-17,Haley Fox Blog,Awesome hair and Nail Vitamins,Been using these a while now and they taste amazing and my hair and nails grow like crazy! Easy to chew and swallow and has a good flavor. Good value for your money too! Highly Recommend!,5
105,0,0,0,0,-1,0,0,2020-10-01,Staci Leslie,Awesome!,I am so excited about sugar bear hair vitamins! After having my 3rd kid my hair came out in clumps! I mean it clumps! Just fistfulls it was awful! I've always had fine and thin hair so I can't afford to lose all that I was losing. I've been taking these vitamins for almost 9 months and the difference is unbelievable! I went to see my hair stylist for the first time in 8 months (I was so embarrassed about my hair loss) and she said all my hair from root to about chin length is thick and looks healthy. So we hacked off the nasty thin ends and my hair looks great. It did NOT make my hair grow faster or help my nails (but don't need help there anyway). It didn't make me break out at all! And my hair is so much thicker now! Definitely worth the money!,5
106,1,0,1,0,0,0,0,2021-10-09,Tara,"Works, getting an inch a month of hair growth","I do have rather fast growing hair, but after chopping of over 8 inches of damaged bleach hair I wanted to get back to my originally length. I used to average .5 inch per month which is average, but after one month of these I started getting 1 inch a month. Had some acne issues in the beginning but I stuck out the exodus, cut my sugar intake, drank lots of water and am able to keep taking them. They are quite pricey but I’ve tried other brands and they don’t seem as effective. I started with only 1/day the first month to ease the acne and get my body used to it.",5
107,-1,0,-1,0,0,0,0,2022-07-31,Angela S,Great product,I've been using these for almost 2 months. My hair has stopped breaking off and feels stringer and thicker. I ordered more and put them on auto refill! Great buy.,5
108,,,,,,,,2022-04-27,Suzanette Hancock,Really can see improvement,"My hair has totally improved since taking these gummies as well as my eyelashes and nails. I am a senior, had Covid and had hair loss from the virus. The gummies have really helped with hair growth and body. Very easy to chew and a pleasant taste. I'm on my 3rd bottle and will continue to take.",5
109,1,0,0,0,0,1,1,2022-01-23,Roxsanne Gossett,Building healthier hair and nails!,My hair had been getting thinner and my nails were thin and very weak. I discovered these vitamins and decided to try them out. To my surprise after my first month of taking them I started seeing some regrowth of my hair and improvement in my nails. Within three months of using these vitamins my nails went from weak and flaking to strong and healthy. I love my outcome. I faithfully use these vitamins every morning. I was surprised that they taste real good too. Try them out to see how they work for you.,5
110,1,0,1,0,0,0,0,2022-10-06,Halee A,Within 2 months my hair is growing,Within 2 months my hair has grown,5
111,-1,-1,0,0,-1,0,0,2022-09-11,Myar Dandash,my hair stopped falling,"my hair stopped falling. Adding to that, it improved my skin and nails",5
112,1,0,1,0,0,1,1,2017-06-30,Cassidy Caddy,Best Vitamins.,"Now that these have a subscription option, they're cheaper and better shipping than the SugarBearHair website! Cancelled that subscription and will be subscribing on Amazon. Kudos to the Kardashians for endorsing this brand because SugarBearHair truly deserves the hype.. They taste like candy and I love that it's a daily vitamin AND huge biotin dose in one. I used to have to take both separately which in gummy form, was not cheap. For me, this justifies the price.. My nails used to always rip and break and be ugly. Now they can grow long and are so much stronger than they used to be. As for hair, I haven't noticed a difference in thickness or strength, BUT my hair is definitely growing faster than it used to - which most people will love but I keep a short angled bob so I have to get it cut more often.. UPDATE: The company recently emailed me with a code for a FREE bottle for my participation in their surveys (and I'm assuming because I cancelled my subscription). Considering these vitamins are ~$31 and I only paid $6 for shipping, that was super cool of them. Makes me wonder if I should go back to ordering from them directly? Not sure if it matters, though.",5
113,1,0,0,0,0,1,0,2022-04-09,KAL,My Only Go To Hair Vitamins!,"These hair vitamins work. I have used the in the past and then stopped, but they helped my hair grow, and not grow everywhere else other than my scalp. That was my one issue with other brands, growing hair in other places than my head, found that these are the only ones for me that have done the trick.",5
114,1,0,0,0,0,1,0,2022-03-23,Xakoria Richardson,Okay lets be real…,"You’re going to see tons of different reviews, however, we all have different bodies meaning some things take different per body. That being said, i’ve only used a month i’ve noticed a difference in my hair already, shine, strength, an most importantly growth in length an thickness!, definitely worth it for me! Most importantly you won’t truly know till you try it so try it!",5
115,0,0,-1,0,0,0,0,2021-04-01,j.renee,Love them!,"I love these so much! This is my third order. They even taste great! Pregnancy ruined my taste for gummy vitamins so i was a bit concerned on how i would take to these (because let’s face it, pregnancy can be weird sometimes). I know, it’s not the same as prenatals so of course they’re different lol. But I’m just referring to the fact that they’re funny vitamins, and since the gummy vitamins i took while pregnant made me nauseous because of the taste and texture, i wasn’t sure how I’d handle these gummy vitamins. But to my surprise, they don’t make me sick OR remind me of those horrid sick times during my preggo days. So I’m saying i love these!",5
116,,,,,,,,2016-08-22,Amazon Customer,I've used a variety of supplements like this over the years,"I'm writing this after bottle 3. I've used a variety of supplements like this over the years. Some have been capsules, some have been gummies. One of the things I've had trouble with is being consistent in taking the pill/gummy each day. I kinda lose interest after the first couple weeks and then I end up with another half filled bottled in my medicine cabinet.. Since I started using SugarBears 3 months ago, I can say I look forward to taking them everyday. I've noticed a difference in both my hair and nails (I'm a nail biter). My hair grew quite slowly before, so I'm able to see the Growth rate change easily in my roots.. If you are looking for a supplement in this category I'd recommend SugarBear for you. Some tips based on my observations:. 1) This is a daily supplement, not a 1 month quick fix - so use it for a couple months before forming an opinion. 2) I've read comments from people about their skin, in that case try taking 1 instead of 2 and see how that works. You are also probably not drinking enough water. 3) They are super delicious (best tasting vitamin I've had yet) so try taking them at night to curb sweet cravings. Hope this helps!",5
117,1,0,1,0,0,1,1,2022-07-12,Lani Goldsmith,Absolutely Works!,I’ve been using this for about 3 months and what a difference this has made. It might not work for everyone but it surely is working for me.,5
118,1,0,0,0,0,1,0,2017-02-27,Julie Robins,BLEW ME AWAY!! And I have PHOTO EVIDENCE!!!!!,"I don't have thin hair but my temples were thinning like my dad and grandma. NOBODY noticed except me. Even my hair dresser said ""You are wacked""... but I noticed..... So I got these 1 month ago. My 2nd bottle came yesterday on a sunday (LOVE PRIME). AND FIRST OFF THEY TASTE SO FANTASTIC,. I eat one at a time and suck on them until they dissolve. YUM YUM YUM.. Well I haven't been using a pushback bar b/c I see my temples getting sparse.... ITS been 4 weeks and I pulled my hair back with a bar and looked in the mirror. NO WAY! NO FREEKING WAY!! how can this be? My hair is grown in over these spots!!! Before photo is me showing my 57 YEAR OLD muscle last year. The 2nd photo I was modeling my new UVB blocking glasses from amazon ($10 btw they rocks) SO HERE IS THE PROOF, sorry they are opposite sides but my hair was thin on both. ITS NOT ANYMORE!! SUGAR BEAR HAIR I AM AN ADDICT NOW!!! LOOK up in my temple on photo 1 see that V-SHAPED where you see my skin. Photo 2 my hair has grown back!!!!!! I am so freeking happy. I'll post new photos on my second bottle review!!!",5
119,1,1,-1,0,0,0,-1,2022-09-18,Casey Curtis,Tastes great,So far so good and these taste great.,5
120,0,0,-1,0,0,0,0,2016-04-20,Tiffany,They really do work!,"These vitamins have been my hair's life saver! My hair has never felt this smooth or soft or looked so shiny and healthy! My photo collage is of myself before I cut my hair last April, September is showing I cut and saved that hair to donate, March I first started taking the vitamins and this year in April is my progress so far. My hair is originally curly so I provided a collage of that hairstyle as well. Again, July was before I cut my hair, October was a month after cutting, March 12 was my first time trying Sugar Bear Hair and March 18 was only a week into using the vitamins and all I use for my hair is coconut oil along with shampoo and conditioner. I am on month 2 now and continue to seeing improvements. I even have a lot less hair fallout! My other photo is of my hair fallout the first one on the left (2 weeks) is prior to taking the vitamins, next is (1 week) prior to taking them, (7 days) into taking the vitamins and the last one is (17 days) into taking them! My current fallout is even smaller! Give it a try if you're interested. Try a month out like I did and see if they will work for you.",5
121,-1,0,-1,0,-1,0,0,2016-04-05,Patricia,Surprise! It really works!,"I've been taking these dummies for 2 months now in conjunction with this Korean shampoo for hair loss. I've done a lot of coloring and I definitely needed something to save my hair. Taking this for 2 months, I can confidently say that it works WONDERS. My nails are growing long and strong. My hair is growing faster than ever. I've taken other hair, skin and nails gummies/pills before and it didn't work as well as this one. The first month I took it, I felt my hair growing a lot....and then I got a hair cut (to cut the dead ends so my hair can grow better). The second month, within 2 and a half week or so, I feel like I've already grew the hair that I cut off! I've taken it religiously for a month and the second day, I've missed it 2 days. My hair is soft and believe me, it was WAY damaged from all the bleaching I've put it through. It took out the frizz and when I wash my hair and it dries, I don't have to deal with nasty knots and fluffy hair. I never had a chance to do before and after pictures, but I can definitely feel the length growing longer. I definitely recommend this.",5
122,0,0,1,0,0,0,0,2022-08-20,Lynn Choate,Love them!  They taste great and had hair growing within 2 months tops!!,My hair was falling out due to medication and stress! And it started coming back with these!!!,5
123,1,0,0,0,0,0,0,2022-08-10,Octavia M. Jabali,Excellent purchase!,Gummies taste good. The vitamins really helped hair growth. The gift brush was unexpected and greatly appreciated. Quickly arrived.,5
124,0,-1,-1,0,0,-1,-1,2022-07-08,Mrs. Dawson,These REALLY work!!!,My postpartum alopecia problem has been solved! I've been taking these for 4 months now (scroll backwards) and the results have been amazing..here's a month to month of the progress.,5
125,1,0,-1,0,0,0,1,2022-10-09,Brenda,Expensive,Mint,5
126,0,0,1,-1,0,1,0,2022-09-16,Amazon Customer,It really works,Good taste. And it really works,5
127,,,,,,,,2021-07-13,Victoria,Tasteful,"I began taking this product because I really needed something that would help my hair grow fast, and healthy. After having three children, my hair lost its life. I was going bald and I couldn’t handle it. I ordered sugar bear gummies because of the reviews;here is mine. I’ve been taking this for almost the whole month.The taste is phenomenal. To me, it has a lemon hint to the flavor. Very easy to chew and swallow. The gummy bear is such a cute touch to the product.. WARNING! you may want to eat more than recommended dose, due to the exceptional flavor.",5
128,0,-1,0,-1,-1,0,-1,2022-03-27,David Galle,These made my hair so soft and look so much fuller!,"If you want your hair to look fuller, shiny and longer, these are the best hair gummies out there. They are great for the money and they taste amazing!! I've been taking them for 5 months and they have really made a difference on my hair and nails! Would definitely recommend!!!",5
129,-1,0,-1,-1,0,0,-1,2022-06-13,liz,Not bad,My hair went from pixie cut to jaw length pretty quick. Although I do deep condition my hair and try not to tie it up. I am biracial with curly fro,5
130,-1,0,-1,0,0,0,0,2016-06-03,Momma Bear,A Vitamin you will actually want to take.,"First of all Biotin supplements work for me! I have been taking them on and off for a few years, the problem is all the ones I have tried smell like regurgitated fish meal so it was a real chore choking them down. Often I would stop taking them for months at a time, till I noticed my nails becoming brittle and my hair losing some of its shine, then I would set an alarm on my phone and force myself to start taking them again.. I was a bit skeptical with SugarBear because of the price, but people said they were delicious so I thought I'd give them a try. Boy were they right. I actually look forward to taking them, they really do taste good, like really really good, like try not to eat the whole bottle good. With SugarBear vitamins there is no alarm needed!. So for all of these other reviews that say they are too expensive feel free to buy the cheap regurgitated fish meal that every other hair vitamin company is hawking, but I have one question. Is it really cheaper if you don't actually eat them? You can do what you want, but I know I'm never going back!",5
131,0,0,0,-1,0,0,0,2022-07-14,KSummer,New growth,They taste great very sweet and after 2 months I have new growth around my hair line so I know its actually working,5
132,-1,0,-1,0,0,0,0,2020-05-18,Leigh Powers,This truly works!!,"These are most definitely worth the hype and price tag. I've been taking them for 6 months now and have seen a tremendous difference. Two reasons I know they work. The first is that I had a child a year ago and my hair started falling out, which is common after having a baby, and this product stopped the fall out completely after a couple weeks. The second is that I cut my hair very, very short 6 years ago and haven't been able to grow it out past a certain point ever since. It would just start getting dead ends and have to be trimmed. However, not anymore. My hairdresser can't believe how fast my hair has been growing and it is the longest it has been in 6 years!!! Give it a try. You will see a difference in just 2 months.",5
133,0,0,-1,0,0,0,0,2017-12-07,Michelle,They do taste good. I'm a skeptical person in general,"This is my third bottle I've ordered of the Sugar Bear Hair gummies. They do taste good. I'm a skeptical person in general, especially when it comes to something that says it'll make your hair grow. But I have to say, I am pretty impressed with this product. I've tried just the regular biotin capsules before and never noticed a difference in my hair. But I can say that I have noticed a difference with these gummies. I took them for a few months and my hair did get longer. Then I stopped taking them for a few months, just to see if there was a difference, and now I've started taking them again. I did notice a difference when I wasn't taking them. They seem to work for me. I think it's the combination of the other vitamins and supplements in the gummies, instead of just the biotin. I didn't notice any difference in the thickness of my hair, but my hair is able to grow about an inch or two longer when taking the gummies.. I recommend these gummies, they're a bit expensive but they taste good and seem to work!",5
134,1,1,1,0,0,1,0,2022-09-04,Amy McCloud,they work y’all,they actually do work if you stay consistent!!!,5
135,1,0,0,0,0,1,1,2019-08-16,HippieChef,"Once skeptic, now a believer!!","I read the reviews and was skeptical but for about dollar a day and my normal hair back I took the plunge. I'm a 31 y/o caucasian woman and due to having a baby and then other health issues, my once super plentiful and gorgeous hair had started thinning out BAD! Like...looking up hair fiber reviews kinda bad. Lo and behold the dark horse miracle for me, Sugarbearhair. I started noticing results within about a week or two. The parts on my head that were starting to feel naked definitely didn't feel naked anymore!! I dont experience near the amount of fallout I had before I started the gummies. Also- I read the parts about the acne and I am horribly prone to it..haven't noticed a difference at all. If anything my skin actually seems to be pretty chill at the moment. I'm recommending this to everyone I know who worries about hair loss. It's a total game changer.",5
136,1,-1,1,0,0,1,1,2022-09-01,Eids Xhima,Love this vitamins,"Love the results , they taste great",5
137,0,0,-1,0,-1,0,-1,2022-04-15,mario,Not getting right quantity in every order,I noticed that every order I only have 59 pcs instead of 60 pcs and I know 1 pcs missing is not a big issue but at the same time I’m not getting what I’m paying for so that’s not right,5
138,0,0,-1,0,0,0,0,2018-02-22,molly donohoe,I absolutely love this vitamins,"I absolutely love this vitamins. They are literally the most delicious hair vitamin I have ever taken; taste exactly like blue gummy bears with no weird aftertaste. I have only been taking them for a couple weeks and my hair which is very damaged from chemicals, chlorine, heat, and bleach is SO much stronger, healthier,and shinier! But MOST importantly, my naturally spiraly curly hair that has been stringy for a while and lost its curl has come back. My curls are more defined, healthier and my hair feels less brittle. The only thing I changed in my diet/routine was taking these vitamins. I can't imagine how my hair will be after a few bottles. My thickness and volume are finally coming back.. ALSO: I had some hesitation because I was worried that these were fake and not the real sugarbearhair so I messaged their official instagram page to ask and they responded within an hour confirming that this is the official sugarbearhair amazon profile! I hope to continue taking these vitamins as long as I can afford them! Love the vitamins and the company.",5
139,0,0,0,-1,0,0,0,2022-03-27,Tonya,It stopped my hair shedding!,I was skeptical but this stopped the insane amount of stress shedding I was having and now I have new baby hairs growing it like crazy instead. Yay!!! No acne problems either. Buy this. You will only regret how long you hestitated to click “buy now”,5
140,,,,,,,,2022-06-27,Myriam Sanchez,Amazing,"OMG, I want to eat all of them at once. They taste so good, you can’t believe that they are vitamins.",5
141,1,0,1,0,0,0,0,2022-07-05,Shannon Garrison,It works!!!!,I’m on month 2 and already have tons of new growth. Can’t wait to see what 3 months looks like!,5
142,-1,0,-1,0,0,0,0,2022-01-21,Joi S.,I Swear By These!,"Whenever I've been on these for a few weeks, my hair seems to fall out less and my roots come in super quick = GROWTH! I am 44, and my hair is down to my waist. I need all the help I can get. I thought these were a gimmick but tried them anyway because I was worried about hair loss. I won't go back.",5
143,1,-1,0,1,0,1,1,2022-09-20,nazir,👍,👍,5
144,0,-1,-1,0,0,0,0,2022-09-20,Juraida,tasty!,amazing,5
145,-1,0,0,0,0,-1,0,2019-12-31,Katie Parker,LOVE THIS!!,"Definitely WORKS!! I was skeptical because I've tried pyramid scheme hair, skin and nails vitamins, other vitamins that claim to work, shampoos and conditioners that claim to work, hair masks, massaging my scalp... EVERYTHING! So when I saw these, I figured I'd try them (Even if they're more spendy than others) because of the reviews. Let me tell you...THEY WORK. I have been coloring my hair and cutting and doing everything under the sun with my hair for 10+ years. So add that, plus 2 kids later and postpartum hair loss (not bald, but a lot of hair) my hair was a little frazzled 😂 I'm 3 weeks in (my hair is colored..I'm a natural blonde) and LOOK AT THE GROWTH AND HEALTH!! I ordered my second bottle and I'm excited to continue this hair journey with my new favorite hair gummies They also taste delicious 😍",5
146,0,0,1,0,0,0,0,2022-07-10,Tasha bowman,Didn’t use long,I didn’t use these longer than the one bottle so I can’t honestly say they work,5
147,,,,,,,,2018-07-26,CEY,YES YES YES YES YES,"WOAH Nelly do these things WORK. It's not something you notice daily, however, hear me out. (I'm in my third month of taking these.). I went from needing my hair done every 8-ish weeks to every 4-5 weeks... and by that point I have SERIOUS roots.. My eyelash girl is always amazed by all the new growth I have and says my eyelashes are so crowded they are growing in crisscrossed and she's ONLY ever seen that on clients that are using a serum.. I have to do my eyebrows almost every other day and my gf who is also taking SugarBearHair has to actually trim her eyebrows now. She also has noticed her arm hair growing, which is not what most people would necessarily buy these for, but it's a clear indication of their effectiveness. Same with having to shave your legs, BUT... if you want healthy head hair/ lashes, these are a MUST.. Who would've thought something purchased via Instagram would be so incredible?",5
148,0,0,-1,0,0,0,0,2022-06-16,Kathy Buller,Delicious!,"Tastes delicious, easy to swallow and has made a big difference to the overall health of my hair. Would highly recommend!",5
149,0,0,0,0,-1,0,0,2022-04-11,Olive Lee,Best hair growth product around!,Sugar Bear gummies are one of the best hair and nail products I’ve ever used. My hair always grows ridiculously fast and fuller with this product. And the taste? Forget about it! The best taste for hair gummies around!,5
150,1,0,0,0,0,1,1,2022-08-01,Lorie,They work great,These are unlike any others I've tried. They're worth the $,5
151,0,0,1,0,0,0,0,2021-07-28,Jennifer,Great product But gets pricey,"I love these vitamins… they help so much, my hair has been softer, smooth, and has helped it grow longer… esp someone like me who is constantly curling or straightening my hair to where it was so dry… I’ve been very pleased… and have had NO complications or side effects or anything like others have commented… the only negative thing I would say is that it is pricy per bottle… but I guess that comes with quality… I would recommend to anyone..",5
152,0,-1,0,-1,0,0,0,2021-01-22,Darlene p.,"Amazing,your hair will grow faster & taste great","These work amazing, taste great. I bought the 3 month supply I'm half way through my 3rd bottle. My hair has grown from my chin to past my shoulders. Its doubled the amount of length it usually would grow. They say its 1/2 inch a month. Mines definitely doubled if not tripled that. It's also very shiny. I will be buying another 3 mo supply. Befor these my hair was not growing to well. I been growing it out after shaving my head 3 yrs ago. So I'm eager to get my length back. Wish I'd bought these yrs ago!!",5
153,0,-1,-1,0,-1,0,0,2022-06-14,Amazon Customer,2 months in,2 months in taking these vitamins and I can see how healthier and the difference in growth. I’m loving them.,5
154,-1,0,-1,0,0,-1,0,2022-03-21,Heidi C,Great gifts.. for others and yourself,Love eating these - I never forget because they are so delicious! My hair was very damaged after a bleach so these have been very helpful at growing them out faster. My nails are also stronger and longer whenever I take these.,5
155,1,0,0,0,0,1,1,2022-01-09,Caitlin Cherner,"Beware of quality, and mold on gummies",I had been ordering these through Amazon due to the quicker shipping but I got to the bottom of my bottle with about five gummy’s remaining and they were moldy. I am disgusted. Also I stuck with them for quite some time and did not see any difference in my hair growth. Guess this was the push I needed to stop ordering them.,5
156,-1,-1,-1,-1,-1,0,0,2022-09-01,Ariana Cruz Ramos,Liket,Me encanta,5
